match_id,label,engage_delta,catch_delta,range_delta,tankiness_delta,dpm_delta,synergy_delta,counter_delta
NA1_5518952326,0,6,2,50,1429.25278719807,-1287.896788232368,-0.03780673816994233,0.4174603174603175
NA1_5512378264,0,4,3,425,-858.833922110874,92.203930350183,-0.06259786176481995,-0.7004140786749482
NA1_5514685617,0,3,-1,200,218.146866108721,376.873568578532,0.12276440329211685,0.045454545454545456
NA1_5516768672,0,7,2,-125,-107.276767997067,0.111266673403,-0.09872173983484024,-0.13333333333333333
NA1_5517737082,1,6,1,0,-1476.65959195229,255.59146497246,0.19856189343388958,0.6347688130582867
NA1_5519113747,1,3,0,375,-1848.81792651889,-68.602144977481,0.16552866525039378,0.0
NA1_5519115411,1,5,0,275,-639.17625901812,232.354694674691,-0.010809631502745958,0.5987012987012987
NA1_5519149455,0,5,0,800,-319.678948363975,56.082761001054,0.43528436678250937,0.7252525252525253
NA1_5519205114,1,7,0,-350,345.274053518932,252.956945761911,0.11612991015897636,0.5400535867641131
NA1_5487061602,1,7,0,-350,271.932969978803,-193.533562803596,-0.3837250198576085,-0.5666666666666667
NA1_5517085663,0,1,0,125,361.170200128288,41.702170754901,-0.202449076427557,0.13690476190476192
NA1_5517192153,0,6,1,-525,355.102573128308,-275.102894157835,-0.02786836592431236,-0.06666666666666667
NA1_5512441321,0,4,1,550,4.01355924630025,159.350692364048,0.13780269440281268,0.7085497835497836
NA1_5518869036,0,3,0,125,471.311321396066,-477.304974882701,0.23837317692260201,1.0894979203802733
NA1_5519257140,0,5,2,-495,1092.54243429908,81.217195570458,-0.05870204364342466,-0.2857142857142857
NA1_5518976327,0,4,0,-700,722.006901881312,246.440289070735,0.08516699125699735,-0.7586898395721925
NA1_5517312707,1,4,1,50,-556.608868962085,980.536379943352,-0.1930261431784108,0.43333333333333335
NA1_5519069101,1,4,2,-475,-342.824360572496,110.297280346927,-0.34868448308613803,-0.3
NA1_5518594796,1,5,-1,75,-650.384281500679,101.339800659158,-0.17760846360534024,0.0
